escenario,modelo,variables,cv_roc_auc,cv_f1,test_roc_auc,test_f1,test_precision,test_recall,test_accuracy
base_8_variables,random_forest,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD",0.7582679583056293,0.8371355467859599,0.765890061337876,0.8321137361488605,0.9460423104349893,0.742675872364247,0.7313932095668172
edad_cuadrado,random_forest,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD_CUADRADO",0.7582652470296002,0.8371659427919902,0.7658331778316849,0.8321137361488605,0.9460423104349893,0.742675872364247,0.7313932095668172
edad_y_edad_cuadrado,random_forest,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, EDAD_CUADRADO",0.7541440767803118,0.8347270872385575,0.7599124776529083,0.8304056879966542,0.9443519619500594,0.7409964545624184,0.7287171767854156
grupo_etario,random_forest,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, GRUPO_ETARIO",0.745457703655938,0.8319175233661333,0.7480438394259882,0.8257130872483222,0.9425424946133588,0.7346519873110655,0.7220270948319117
base_mas_tipo_problema,random_forest,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, TIPO_DE_PROBLEMA_MEDICO",0.7451653817226103,0.8418451358907125,0.754083724093927,0.8500665233855286,0.9412964641885766,0.7749580145549543,0.7549757484529186
edad_cuadrado_y_grupo_etario,random_forest,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD_CUADRADO, GRUPO_ETARIO",0.7434979134926133,0.837363851110716,0.7425165082556326,0.8304008328995315,0.9392369288742346,0.7441686881880948,0.7275464124435524
edad_y_grupo_etario,random_forest,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, GRUPO_ETARIO",0.7434896317200492,0.837394091743995,0.742524935441735,0.8302790503956685,0.9392226148409893,0.7439820862101139,0.7273791603947148
todas_las_variables_de_edad,random_forest,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, EDAD_CUADRADO, GRUPO_ETARIO",0.7386566265699746,0.8402577310993568,0.7392244881989298,0.8371756435438851,0.9385720908669448,0.7555514088449338,0.7365780230807827
base_mas_codigo_enfermedad,random_forest,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, CODIGO_ENFERMEDAD",0.6829469871734313,0.8182912094274636,0.688938866784246,0.8143096936634494,0.930026359932902,0.7242022765441314,0.703963873557451
base_mas_codigo_y_tipo,random_forest,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, CODIGO_ENFERMEDAD, TIPO_DE_PROBLEMA_MEDICO",0.6773227427694718,0.8474823346838296,0.6901048281756949,0.85,0.92435869326902,0.7867139391677552,0.7511289513296537
base_mas_codigo_y_tipo,regresion_logistica,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, CODIGO_ENFERMEDAD, TIPO_DE_PROBLEMA_MEDICO",0.656037120067231,0.8165712929665851,0.6728135966628344,0.8220347807976673,0.9300188501413761,0.7365180070908751,0.7141662485365445
base_mas_codigo_enfermedad,regresion_logistica,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, CODIGO_ENFERMEDAD",0.6515739826740023,0.8188928829199401,0.6689720036838842,0.8211424409530746,0.9280338664158043,0.7363314051128942,0.7124937280481686
base_mas_codigo_y_tipo,svm_lineal,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, CODIGO_ENFERMEDAD, TIPO_DE_PROBLEMA_MEDICO",0.6413650397255646,0.9452909635706066,0.6582159045079425,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
base_mas_codigo_enfermedad,svm_lineal,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, CODIGO_ENFERMEDAD",0.637970058626531,0.9452909635706066,0.6554168748382281,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
base_mas_tipo_problema,regresion_logistica,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, TIPO_DE_PROBLEMA_MEDICO",0.632874609032691,0.8304054174280349,0.6379045801756467,0.8349811436143104,0.9200359389038635,0.7643217018100392,0.7292189329319284
base_mas_tipo_problema,svm_lineal,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, TIPO_DE_PROBLEMA_MEDICO",0.6321680568130388,0.9452909635706066,0.6371620848858417,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
base_8_variables,regresion_logistica,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD",0.6063878008441383,0.7748174742333477,0.6019650392165125,0.7793849780349298,0.9151987921489683,0.6786713939167756,0.6556280314433852
base_8_variables,svm_lineal,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD",0.6061907373605209,0.9452909635706066,0.6017200488776794,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
edad_cuadrado,regresion_logistica,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD_CUADRADO",0.6059504062900417,0.7844025453300152,0.601797699378194,0.7887743169979802,0.916501976284585,0.6922933383093861,0.6676701789596923
edad_cuadrado,svm_lineal,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD_CUADRADO",0.6055277167100749,0.9452909635706066,0.6014193789163842,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
edad_y_edad_cuadrado,regresion_logistica,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, EDAD_CUADRADO",0.6054000824453731,0.7828866048480363,0.6018572916227751,0.7887743169979802,0.916501976284585,0.6922933383093861,0.6676701789596923
edad_y_edad_cuadrado,svm_lineal,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, EDAD_CUADRADO",0.605163415773055,0.9452909635706066,0.6014792721318974,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
edad_cuadrado_y_grupo_etario,regresion_logistica,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD_CUADRADO, GRUPO_ETARIO",0.6047887234461443,0.7846940103244057,0.6061431176976928,0.7895072217502124,0.9161942321912744,0.6935995521552528,0.6685064392038802
edad_y_grupo_etario,regresion_logistica,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, GRUPO_ETARIO",0.6047339016463386,0.780501448565541,0.6031207675962655,0.7862847407091896,0.9156746031746031,0.6889345027057286,0.6643251379829402
edad_y_grupo_etario,svm_lineal,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, GRUPO_ETARIO",0.604546543520941,0.9452909635706066,0.602852602495651,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
edad_cuadrado_y_grupo_etario,svm_lineal,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD_CUADRADO, GRUPO_ETARIO",0.6044919575115102,0.9452909635706066,0.605783457433681,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
todas_las_variables_de_edad,regresion_logistica,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, EDAD_CUADRADO, GRUPO_ETARIO",0.6044358304710499,0.7812564954020835,0.6036558939137657,0.7875757898095948,0.9158832261256804,0.6908005224855384,0.6659976584713163
todas_las_variables_de_edad,svm_lineal,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, EDAD_CUADRADO, GRUPO_ETARIO",0.6042333069418402,0.9452909635706066,0.6034241462959506,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
grupo_etario,regresion_logistica,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, GRUPO_ETARIO",0.6018027641477016,0.7835607170946491,0.6015027478646112,0.789166224110462,0.9159270216962525,0.693226348199291,0.6680046830573675
grupo_etario,svm_lineal,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, GRUPO_ETARIO",0.6014657265644369,0.9452909635706066,0.6011454953680574,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
edad_cuadrado_y_grupo_etario,baseline,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD_CUADRADO, GRUPO_ETARIO",0.5,0.9452909635706066,0.5,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
todas_las_variables_de_edad,baseline,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, EDAD_CUADRADO, GRUPO_ETARIO",0.5,0.9452909635706066,0.5,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
base_8_variables,baseline,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD",0.5,0.9452909635706066,0.5,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
edad_y_grupo_etario,baseline,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, GRUPO_ETARIO",0.5,0.9452909635706066,0.5,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
edad_y_edad_cuadrado,baseline,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, EDAD_CUADRADO",0.5,0.9452909635706066,0.5,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
edad_cuadrado,baseline,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD_CUADRADO",0.5,0.9452909635706066,0.5,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
base_mas_codigo_y_tipo,baseline,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, CODIGO_ENFERMEDAD, TIPO_DE_PROBLEMA_MEDICO",0.5,0.9452909635706066,0.5,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
base_mas_tipo_problema,baseline,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, TIPO_DE_PROBLEMA_MEDICO",0.5,0.9452909635706066,0.5,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
base_mas_codigo_enfermedad,baseline,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, EDAD, CODIGO_ENFERMEDAD",0.5,0.9452909635706066,0.5,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
grupo_etario,baseline,"DIAS_ESTANCIA, GENERO, NIVEL_DE_GRAVEDAD, IMC, ES_INDIGENA, ENTIDAD, MES, GRUPO_ETARIO",0.5,0.9452909635706066,0.5,0.9453166343270418,0.8963037297206891,1.0,0.8963037297206891
