variable,grupo,observaciones,tasa_mejoria
DIAS_ESTANCIA,"(-0.001, 1.0]",15124,0.8860751124041258
DIAS_ESTANCIA,"(1.0, 2.0]",5874,0.9159005788219271
DIAS_ESTANCIA,"(2.0, 4.0]",3998,0.9027013506753376
DIAS_ESTANCIA,"(4.0, 550.0]",4898,0.8989383421804819
GENERO,1,8301,0.8930249367546079
GENERO,2,21593,0.8975130829435465
NIVEL_DE_GRAVEDAD,1.0,1818,0.9471947194719472
NIVEL_DE_GRAVEDAD,2.0,1141,0.894829097283085
NIVEL_DE_GRAVEDAD,3.0,13377,0.9055842117066607
NIVEL_DE_GRAVEDAD,4.0,10069,0.9130002979441851
NIVEL_DE_GRAVEDAD,5.0,3489,0.7861851533390657
IMC,"(0.999, 21.333]",5425,0.9131797235023041
IMC,"(21.333, 24.347]",5375,0.904
IMC,"(24.347, 27.239]",5441,0.8978129020400661
IMC,"(27.239, 30.469]",5405,0.9010175763182239
IMC,"(30.469, 416.233]",5354,0.8989540530444527
ES_INDIGENA,1,837,0.8363201911589009
ES_INDIGENA,2,28597,0.8975417001783403
ES_INDIGENA,9,460,0.9260869565217391
ENTIDAD,"(0.999, 10.0]",6157,0.8621081695630989
ENTIDAD,"(10.0, 14.0]",6012,0.8930472388556221
ENTIDAD,"(14.0, 16.0]",6061,0.958587691800033
ENTIDAD,"(16.0, 24.0]",5818,0.8832932279133723
ENTIDAD,"(24.0, 32.0]",5846,0.8838522066370168
MES,"(0.999, 3.0]",7290,0.8925925925925926
MES,"(3.0, 5.0]",5076,0.8969661150512215
MES,"(5.0, 8.0]",7589,0.9010409803663196
MES,"(8.0, 10.0]",5223,0.903312272640245
MES,"(10.0, 12.0]",4716,0.8857082273112807
EDAD,"(0.999, 17.0]",6343,0.9153397446003468
EDAD,"(17.0, 23.0]",6131,0.9119230141901811
EDAD,"(23.0, 30.0]",5542,0.9072536990256225
EDAD,"(30.0, 47.0]",5958,0.8982880161127895
EDAD,"(47.0, 118.0]",5920,0.8472972972972973
