,ID,DIAS_ESTANCIA,EDAD,GENERO,PESO,ALTURA,IMC,MES,ENTIDAD,INDIGENA,MOTIVO_EGRESO,NIVEL_DE_GRAVEDAD,ES_INDIGENA,EGRESO_MEJORIA
ID,1.0,0.01868523721563237,-0.025356647167166794,0.03517144040080764,0.016989407305809487,-0.038332317878237036,0.05360503465833535,-0.07137054358105822,0.04423338280489855,-0.06479454476038243,0.005098742669539252,0.03457274015151213,-0.06479454476038243,-0.036995194844559126
DIAS_ESTANCIA,0.01868523721563237,1.0,0.005027424883663422,-0.09633754083954435,-0.08314525330677106,-0.11437736185392318,-0.051701551332750034,-0.002576992506588357,-0.02052287642142833,0.005007836590749143,0.02206686493775546,0.08703367817531367,0.005007836590749143,-0.012982475676329005
EDAD,-0.025356647167166794,0.005027424883663422,1.0,-0.10252681880446461,0.408678657219966,0.4649395391815395,0.18530045652117927,-0.019181471350571105,-0.0049031504055794695,-0.004957265931472082,0.15290281567996306,0.19459823736387663,-0.004957265931472082,-0.0873060517486622
GENERO,0.03517144040080764,-0.09633754083954435,-0.10252681880446461,1.0,0.16030149593555948,0.09990235867631822,0.16277161735287882,-0.0014058168825133999,0.012634258949693573,-0.020802721337482764,-0.08377225937806991,-0.1932329099896878,-0.020802721337482764,0.006592150875560754
PESO,0.016989407305809487,-0.08314525330677106,0.408678657219966,0.16030149593555948,1.0,0.7802104194085211,0.6687059023838439,-0.01182993271281434,-0.019439864469501522,-0.007736184832227111,-0.00166771738657369,-0.07907260288078517,-0.007736184832227111,-0.03161859314278744
ALTURA,-0.038332317878237036,-0.11437736185392318,0.4649395391815395,0.09990235867631822,0.7802104194085211,1.0,0.23251376685195496,-0.015245209220133813,-0.007547261396750171,0.0026071647314748953,-0.01353632999849341,-0.08406501329714858,0.0026071647314748953,-0.021342190894728278
IMC,0.05360503465833535,-0.051701551332750034,0.18530045652117927,0.16277161735287882,0.6687059023838439,0.23251376685195496,1.0,-0.005289029490030584,0.008133791709157361,-0.015533279014963564,-0.01410227834406095,-0.0580568879586382,-0.015533279014963564,-0.01535594901416263
MES,-0.07137054358105822,-0.002576992506588357,-0.019181471350571105,-0.0014058168825133999,-0.01182993271281434,-0.015245209220133813,-0.005289029490030584,1.0,-0.0037510880630768897,-0.0034487595945084546,0.0093753776677241,-0.02248414830783263,-0.0034487595945084546,-0.0003897908288066682
ENTIDAD,0.04423338280489855,-0.02052287642142833,-0.0049031504055794695,0.012634258949693573,-0.019439864469501522,-0.007547261396750171,0.008133791709157361,-0.0037510880630768897,1.0,-0.02994874922895212,-0.029196454750216087,-0.02315218792455067,-0.02994874922895212,0.00860619461613679
INDIGENA,-0.06479454476038243,0.005007836590749143,-0.004957265931472082,-0.020802721337482764,-0.007736184832227111,0.0026071647314748953,-0.015533279014963564,-0.0034487595945084546,-0.02994874922895212,1.0,0.005958593340807245,-0.026584563889977923,1.0,0.018211422764519453
MOTIVO_EGRESO,0.005098742669539252,0.02206686493775546,0.15290281567996306,-0.08377225937806991,-0.00166771738657369,-0.01353632999849341,-0.01410227834406095,0.0093753776677241,-0.029196454750216087,0.005958593340807245,1.0,0.18063809227623787,0.005958593340807248,-0.48925947438973516
NIVEL_DE_GRAVEDAD,0.03457274015151213,0.08703367817531367,0.19459823736387663,-0.1932329099896878,-0.07907260288078517,-0.08406501329714858,-0.0580568879586382,-0.02248414830783263,-0.02315218792455067,-0.026584563889977923,0.18063809227623787,1.0,-0.02658456388997791,-0.08974501263409997
ES_INDIGENA,-0.06479454476038243,0.005007836590749143,-0.004957265931472082,-0.020802721337482764,-0.007736184832227111,0.0026071647314748953,-0.015533279014963564,-0.0034487595945084546,-0.02994874922895212,1.0,0.005958593340807248,-0.02658456388997791,1.0,0.018211422764519453
EGRESO_MEJORIA,-0.036995194844559126,-0.012982475676329005,-0.0873060517486622,0.006592150875560754,-0.03161859314278744,-0.021342190894728278,-0.01535594901416263,-0.0003897908288066682,0.00860619461613679,0.018211422764519453,-0.48925947438973516,-0.08974501263409997,0.018211422764519453,1.0
