,count,mean,std,min,25%,50%,75%,max
ID,29894.0,1386540.6332708905,839131.1536377253,36.0,597433.0,1387373.0,2164697.75,2739028.0
DIAS_ESTANCIA,29894.0,3.356894360072255,9.864151514411517,0.0,1.0,1.0,3.0,550.0
EDAD,29894.0,31.181708704087775,19.768425631189867,1.0,19.0,26.0,41.0,118.0
GENERO,29894.0,1.7223188599719008,0.44786274040494267,1.0,1.0,2.0,2.0,2.0
PESO,29894.0,60.93316384558774,23.678744007771005,1.0,54.0,65.0,75.0,246.0
ALTURA,27000.0,147.62577777777778,29.536230888459034,30.0,149.0,156.0,162.0,214.0
IMC,27000.0,26.180932371702898,10.348642196034056,1.0,22.22222222222222,25.72103221453871,29.384756657483933,416.23309053069715
MES,29894.0,6.510771392252626,3.405058172167646,1.0,4.0,7.0,9.0,12.0
ENTIDAD,29894.0,16.487388773666957,7.589933474044635,1.0,11.0,15.0,21.0,32.0
INDIGENA,29894.0,2.079714992975179,0.8807200772126091,1.0,2.0,2.0,2.0,9.0
MOTIVO_EGRESO,29894.0,2.141031645146183,0.8473139967378078,1.0,2.0,2.0,2.0,9.0
NIVEL_DE_GRAVEDAD,29894.0,3.4104502575767714,0.957424638757455,1.0,3.0,3.0,4.0,5.0
ES_INDIGENA,29894.0,2.079714992975179,0.8807200772126091,1.0,2.0,2.0,2.0,9.0
EGRESO_MEJORIA,29894.0,0.8962668093931893,0.3049192121751435,0.0,1.0,1.0,1.0,1.0
