,tipo,nulos,porcentaje_nulos,valores_unicos
ALTURA,float64,2894,9.68,171
IMC,float64,2894,9.68,3455
ID,int64,0,0.0,29894
MOTIVO_EGRESO,int64,0,0.0,8
NOMBRE_ENTIDAD,str,0,0.0,32
ES_INDIGENA,int64,0,0.0,3
NIVEL_DE_GRAVEDAD,float64,0,0.0,5
TIPO_DE_PROBLEMA_MEDICO,str,0,0.0,20
CODIGO_ENFERMEDAD_DESC,str,0,0.0,2288
CODIGO_ENFERMEDAD,object,0,0.0,2289
INDIGENA,int64,0,0.0,3
DIAS_ESTANCIA,int64,0,0.0,107
ENTIDAD,int64,0,0.0,32
MES,int64,0,0.0,12
PESO,int64,0,0.0,163
GENERO,int64,0,0.0,2
EDAD,int64,0,0.0,106
EGRESO_MEJORIA,int8,0,0.0,2
